# Ebin    rho(Ebin)
6.20206  0.959972
6.21612  0.961095
6.21911  0.961337
6.22374  0.961715
6.22581  0.961885
6.227  0.961983
6.22968  0.962205
6.2299  0.962223
6.2306  0.962281
6.23966  0.963041
6.25973  0.964772
6.26391  0.965142
6.26417  0.965165
6.27149  0.96582
6.28346  0.966912
6.2861  0.967156
6.2886  0.967389
6.28974  0.967496
6.29093  0.967608
6.29216  0.967723
6.31381  0.969807
6.32376  0.970796
6.32627  0.97105
6.33055  0.971484
6.33944  0.972399
6.34325  0.972796
6.34358  0.972831
6.34641  0.973128
6.34931  0.973435
6.35896  0.974469
6.3658  0.975214
6.3689  0.975555
6.37211  0.975911
6.3786  0.976638
6.37993  0.976787
6.38096  0.976904
6.38916  0.977839
6.38946  0.977874
6.39472  0.978482
6.40652  0.97987
6.41232  0.980564
6.4181  0.981262
6.42157  0.981686
6.43694  0.983593
6.43766  0.983684
6.43817  0.983748
6.43944  0.983908
6.44084  0.984085
6.44141  0.984158
6.44811  0.985013
6.4489  0.985114
6.45034  0.9853
6.4505  0.98532
6.45782  0.986268
6.45847  0.986353
6.46372  0.987042
6.47629  0.988714
6.48053  0.989286
6.48947  0.990502
6.49345  0.99105
6.49536  0.991313
6.49605  0.991409
6.49758  0.991621
6.4989  0.991803
6.50746  0.993
6.51156  0.993578
6.51512  0.994081
6.51911  0.994649
6.52783  0.9959
6.5325  0.996575
6.53405  0.9968
6.55393  0.999718
6.55532  0.999923
6.55724  1.00021
6.56401  1.00122
6.57685  1.00315
6.58384  1.00421
6.58578  1.00451
6.59208  1.00547
6.59498  1.00591
6.59714  1.00624
6.59907  1.00654
6.60716  1.00778
6.6127  1.00864
6.61769  1.00941
6.62579  1.01067
6.62579  1.01067
6.62613  1.01072
6.64318  1.01338
6.64372  1.01346
6.64547  1.01374
6.64628  1.01386
6.64648  1.01389
6.6491  1.0143
6.65595  1.01537
6.66781  1.01723
6.67212  1.0179
6.67692  1.01865
6.68012  1.01915
6.68843  1.02044
6.69149  1.02091
6.6975  1.02185
6.69932  1.02213
6.70981  1.02375
6.7104  1.02384
6.71058  1.02386
6.71242  1.02415
6.71477  1.02451
6.71538  1.0246
6.71596  1.02469
6.71796  1.025
6.72175  1.02558
6.72395  1.02591
6.72455  1.026
6.72581  1.02619
6.73337  1.02734
6.73574  1.0277
6.7373  1.02793
6.73903  1.0282
6.74607  1.02925
6.7461  1.02926
6.7645  1.03198
6.77114  1.03294
6.77297  1.03321
6.77421  1.03339
6.77673  1.03375
6.78201  1.03451
6.78753  1.03529
6.78914  1.03552
6.79304  1.03607
6.79569  1.03644
6.80477  1.03769
